Product ID,Description,Unit Price
10001,Claw Hammer 16 oz,$17.00
10002,Framing Hammer 22 oz,$55.00
10003,Framing Hammer 28 oz,$60.00
10004,Tack Hammer 12 oz,$12.00
10005,Sledge Hammer 15 lb,$35.00
10006,Sledge Hammer 20 lb,$45.00
10007,Hand Sledge Hammer 2.5 lb,$15.00
10008,Hand Sledge Hammer 5 lb,$20.00
10009,Ball Pein Hammer 24 oz,$30.00
10010,Ball Pein Hammer 32 oz,$35.00
20001,Screwdriver 4 in slotted,$6.50
20002,Screwdriver 4 in Phillips,$6.50
20003,Screwdriver 6 in slotted,$7.50
20004,Screwdriver 6 in Phillips,$7.50
20005,Screwdriver 8 in slotted,$8.50
20006,Screwdriver 8 in Phillips,$8.50
30001,Wrench Adjustable 4 in,$8.00
30002,Wrench Adjustable 6 in,$10.00
30003,Wrench Adjustable 8 in,$12.00
30004,Wrench Adjustable 10 in,$15.00
30005,Wrench Combo 3/8 in,$8.00
30006,Wrench Combo 1/2 in,$8.00
30007,Wrench Combo 5/8 in,$8.00
30008,Wrench Combo 3/4 in,$9.00
30009,Wrench Combo 7/8 in,$9.00
30010,Wrench Combo 1 in,$10.00
30011,Wrench Combo 1 1/4 in,$10.00
30012,Wrench Combo 1 1/2 in,$10.00
30013,Wrench Allen 1/16 in,$2.50
30014,Wrench Allen 1/4 in,$2.50
30015,Wrench Allen 1/8 in,$2.50
30016,Wrench Allen 3/16 in,$2.50
30017,Wrench Allen 1/4 in,$3.50
30018,Wrench Allen 5/16 in,$3.50
30019,Wrench Allen 3/8 in,$3.50
30020,Wrench Allen 7/16 in,$3.50
,,
